TechAreaId,LabId
1,1
1,2
1,3
1,4
1,5
1,6
1,7
2,1
2,6
2,8
2,9
2,11
3,1
3,3
3,6
3,8
3,10
3,11
3,12
3,14
4,13
4,14
4,15
4,16
5,1
5,2
5,4
5,5
5,12
5,16
5,17
5,18
5,19
6,23
6,24
7,20
7,21
7,22
7,25
7,26
