ThrustId,LabId
1,1
1,2
1,3
1,4
1,5
1,7
1,8
1,10
1,11
1,12
1,14
1,28
1,29
2,10
2,11
2,12
2,13
2,14
2,15
2,27
3,1
3,2
3,3
3,4
3,5
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
4,1
4,2
4,3
4,4
4,5
4,7
4,8
4,9
4,10
4,12
4,13
4,16
5,11
5,13
5,14
5,15
5,16
5,17
5,18
6,1
6,2
6,5
6,6
6,8
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,19
6,27
